empty
cable name               vid:pid
anlogicCable             0x0547:1002
arm-usb-ocd-h            0x15ba:002b
bus_blaster              0x0403:6010
bus_blaster_b            0x0403:6010
ch347_jtag               0x1a86:55dd
ch552_jtag               0x0403:6010
cmsisdap                 0x0d28:0204
dfu                      0x0000:0000
digilent                 0x0403:6010
digilent_ad              0x0403:6014
digilent_b               0x0403:6010
digilent_hs2             0x0403:6014
digilent_hs3             0x0403:6014
dirtyJtag                0x1209:c0ca
ecpix5-debug             0x0403:6010
efinix_jtag_ft2232       0x0403:6010
efinix_jtag_ft4232       0x0403:6011
efinix_spi_ft2232        0x0403:6010
efinix_spi_ft4232        0x0403:6011
ft2232                   0x0403:6010
ft2232_b                 0x0403:6010
ft231X                   0x0403:6015
ft232                    0x0403:6014
ft232RL                  0x0403:6001
ft4232                   0x0403:6011
ft4232hp                 0x0403:6043
ft4232hp_b               0x0403:6043
gatemate_evb_jtag        0x0403:6010
gatemate_evb_spi         0x0403:6010
gatemate_pgm             0x0403:6014
gwu2x                    0x33aa:0120
jlink                    0x1366:0105
jlink_base               0x1366:0101
jtag-smt2-nc             0x0403:6014
jtrace_pro               0x1366:1020
libgpiod                 0x0000:0000
lpc-link2                0x1fc9:0090
numato                   0x2a19:1009
orbtrace                 0x1209:3443
papilio                  0x0403:6010
remote-bitbang           0x0000:0000
steppenprobe             0x0403:6010
tigard                   0x0403:6010
usb-blaster              0x09fb:6001
usb-blasterII            0x09fb:6810
xvc-client               0x0000:0000

